[episode 278] episode length : 155, slowdown : 7.35, rew_sum : -249.88, mean entropy : 2.32
[episode 279] episode length : 135, slowdown : 5.11, rew_sum : -118.14, mean entropy : 2.37
[episode 280] episode length : 159, slowdown : 8.48, rew_sum : -272.79, mean entropy : 2.34
[episode 281] episode length : 176, slowdown : 9.11, rew_sum : -300.78, mean entropy : 2.34
[episode 282] episode length : 160, slowdown : 9.36, rew_sum : -327.65, mean entropy : 2.27
[episode 283] episode length : 145, slowdown : 8.04, rew_sum : -249.29, mean entropy : 2.29
[episode 284] episode length : 185, slowdown : 7.71, rew_sum : -223.58, mean entropy : 2.21
[episode 285] episode length : 150, slowdown : 9.98, rew_sum : -249.40, mean entropy : 2.38
[episode 286] episode length : 151, slowdown : 6.97, rew_sum : -230.51, mean entropy : 2.36
[episode 287] episode length : 171, slowdown : 8.70, rew_sum : -263.44, mean entropy : 2.25
[episode 288] episode length : 179, slowdown : 9.59, rew_sum : -383.62, mean entropy : 2.26
[episode 289] episode length : 137, slowdown : 4.28, rew_sum : -107.07, mean entropy : 2.38
[episode 290] episode length : 168, slowdown : 6.72, rew_sum : -194.92, mean entropy : 2.26
[episode 291] episode length : 183, slowdown : 9.24, rew_sum : -341.78, mean entropy : 2.23
[episode 292] episode length : 211, slowdown : 10.12, rew_sum : -344.15, mean entropy : 2.28
[episode 293] episode length : 166, slowdown : 7.32, rew_sum : -234.32, mean entropy : 2.36
[episode 294] episode length : 155, slowdown : 6.87, rew_sum : -206.99, mean entropy : 2.33
[episode 295] episode length : 147, slowdown : 7.21, rew_sum : -195.20, mean entropy : 2.37
[episode 296] episode length : 159, slowdown : 7.45, rew_sum : -239.97, mean entropy : 2.34
[episode 297] episode length : 151, slowdown : 10.45, rew_sum : -355.33, mean entropy : 2.32
[episode 298] episode length : 149, slowdown : 7.52, rew_sum : -195.49, mean entropy : 2.36
[episode 299] episode length : 144, slowdown : 6.77, rew_sum : -191.14, mean entropy : 2.37
[test res at 299 ]	Avg slowdown of test dataset: 7.78, Avg entropy 2.31
[episode 300] episode length : 157, slowdown : 6.62, rew_sum : -174.42, mean entropy : 2.35
[episode 301] episode length : 146, slowdown : 7.18, rew_sum : -237.40, mean entropy : 2.32
[episode 302] episode length : 146, slowdown : 6.08, rew_sum : -170.73, mean entropy : 2.33
[episode 303] episode length : 142, slowdown : 5.83, rew_sum : -163.14, mean entropy : 2.35
[episode 304] episode length : 139, slowdown : 6.45, rew_sum : -180.60, mean entropy : 2.36
[episode 305] episode length : 191, slowdown : 7.49, rew_sum : -240.08, mean entropy : 2.36
[episode 306] episode length : 181, slowdown : 6.35, rew_sum : -209.53, mean entropy : 2.32
